Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,2.5,2,false,false,4.0,1.0,2,110,0.5,2,0.0,2.3445737399924633e-12,0.12607511078355316,0.00011350365234989698
-0.0,-0.0,2.5,2,false,false,4.0,1.0,2,200,0.5,2,-0.0006713989857607543,1.2157450818876974e-5,0.24378438076569459,0.0010186401239022955
-0.0,-0.0,2.5,2,false,false,4.0,1.0,2,101,0.5,2,0.0,2.3445737399924633e-12,0.6707444777368472,0.0006021893826612954
-0.0,-0.0,2.5,2,false,false,4.0,1.0,2,100,0.5,2,0.0,2.3445737399924633e-12,1.1331214805099483,0.000820692908363983
-0.0,-0.0,5.0,2,false,false,4.0,1.0,2,200,0.5,2,0.012612678535030834,1.9805275404908034e-5,0.263475965269292,0.0010953823600278723
-0.0,-0.0,5.0,2,false,false,4.0,1.0,2,110,0.5,2,0.0,4.689147479984927e-12,0.1383090000666392,0.00014466984030841518
-0.0,-0.0,5.0,2,false,false,4.0,1.0,2,101,0.5,2,0.0,4.689147479984927e-12,0.6863947278456383,0.0004941381927256318
-0.0,-0.0,5.0,2,false,false,4.0,1.0,2,100,0.5,2,0.0,4.689147479984927e-12,1.1470606779025692,0.0008077394089102981
-0.0,-0.0,10.0,2,false,false,4.0,1.0,2,200,0.5,2,0.014341366804704058,2.703954181832094e-5,0.26100517533424544,0.0014296047821582543
-0.0,-0.0,10.0,2,false,false,4.0,1.0,2,110,0.5,2,0.0,9.378294959969853e-12,0.13962814795160866,0.00016195309895408803
-0.0,-0.0,10.0,2,false,false,4.0,1.0,2,101,0.5,2,0.0,9.378294959969853e-12,0.6917628414786507,0.0005385973557393373
-0.0,-0.0,10.0,2,false,false,4.0,1.0,2,100,0.5,2,0.0,9.378294959969853e-12,1.1516170342396133,0.0009798083106977017
-0.0,-0.0,20.0,2,false,false,4.0,1.0,2,200,0.5,2,0.015390797797362004,3.433579573019212e-5,0.2629063802227735,0.0013137527899432656
-0.0,-0.0,20.0,2,false,false,4.0,1.0,2,110,0.5,2,0.0,1.8756589919939707e-11,0.1400301887383919,0.00018829240111636756
-0.0,-0.0,20.0,2,false,false,4.0,1.0,2,101,0.5,2,0.0,1.8756589919939707e-11,0.69213881316504,0.0005876293074725532
-0.0,-0.0,20.0,2,false,false,4.0,1.0,2,100,0.5,2,0.0,1.8756589919939707e-11,1.1536029820922333,0.0008829309117000496
-0.0,-0.0,40.0,2,false,false,4.0,1.0,2,200,0.5,2,0.015722655835357827,4.4216728028242806e-5,0.26174028401946453,0.0016906728741204692
-0.0,-0.0,40.0,2,false,false,4.0,1.0,2,110,0.5,2,0.0,3.751317983987941e-11,0.14065825952924865,0.00022703461944723687
-0.0,-0.0,40.0,2,false,false,4.0,1.0,2,101,0.5,2,0.0,3.751317983987941e-11,0.6918206937180836,0.0006430392040356493
-0.0,-0.0,40.0,2,false,false,4.0,1.0,2,100,0.5,2,0.0,3.751317983987941e-11,1.1521974025125434,0.0009560445643510605
-0.0,-0.0,80.0,2,false,false,4.0,1.0,2,200,0.5,2,0.01597909537406828,5.256504917536654e-5,0.2609401032577599,0.00169550044088578
-0.0,-0.0,80.0,2,false,false,4.0,1.0,2,110,0.5,2,0.0,7.502635967975883e-11,0.1399913574321664,0.0003385693362040767
-0.0,-0.0,80.0,2,false,false,4.0,1.0,2,101,0.5,2,0.0,7.502635967975883e-11,0.6910308949475916,0.0005722474862555574
-0.0,-0.0,80.0,2,false,false,4.0,1.0,2,100,0.5,2,0.0,7.502635967975883e-11,1.1509166718132322,0.0009333021830517353
-0.0,-0.0,40.0,3,false,false,1.375,1.0,2,110,4.0,2,0.0,1.8436872515422226e-9,0.16996505139942236,1.9049645208605636e-5
-0.0,-0.0,40.0,3,false,false,1.375,1.0,2,200,4.0,2,0.01742349306678121,7.571937010804553e-6,0.011683510668472704,8.710279660648639e-6
-0.0,-0.0,40.0,3,false,false,1.375,1.0,2,101,4.0,2,0.0,1.8436872515422226e-9,0.022175034505093855,1.5681154037984329e-6
-0.0,-0.0,40.0,3,false,false,1.375,1.0,2,100,4.0,2,0.0,1.8436872515422226e-9,0.02730262868204248,1.774879104330329e-6
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.06819951901204938,8.674780043765285e-5
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.07948784554836888,9.723627554792104e-5
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.28251047344672714,0.0003347679574276067
